year,SL50,SL95,FM,SPR,estimate_type,scenario,scenario_label,sensitivity_component,is_base,growth_id,growth_source,Linf,K,M,MK,MK_origin,maturity_id,maturity_source,maturity_sex,L50_input,L95_input,L50_origin,L95_origin,BinWidth
2015,31.53,35.87,5.44,0.5764845298277907,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2016,28.04,30.2,1.74,0.5771074781331218,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2017,28.73,33.9,3.04,0.48478046814822967,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2018,27.75,31.43,2.65,0.48507094434237596,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2019,35.62,43.43,7.71,0.5970985541669062,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2020,23.49,25.52,0.48,0.6426296521640574,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2021,27.8,31.48,1.09,0.6257485855481437,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2022,34.79,43.8,3.81,0.6197147181596449,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2023,29.36,32.76,1.63,0.6326567042416681,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2024,28.93,32.43,2.56,0.5511978095299147,raw,BASE,BASE,Reference model,TRUE,VIEIRA_2019,Vieira (2019),40.6,0.45,0.92,2.0444444444444443,same-study M estimated by Pauly,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
