Amostragem;Ano;Mes;Grupo;Familia;Genero;Nome_cientifico;Especie;Engenho;Nome_engenho;Quantidade;Preco;Valor;Data_amostragem;Tipo_pesca;Regiao;Ilha;Nome_ilha;Concelho;Nome_concelho;Localidade;Nome_localidade;Tipo_embarcacao;Embarcacao;Nome_embarcacao;Porto_armamento;Nome_porto_armamento;Porto_desembarque;Nome_porto_desembarque;Numero_pescadores;Data_partida;Hora_partida;Data_chegada;Num_dias;Hora_chegada;Num_horas;Banco_pesca;Nome_banco_pesca;Profundidade_pesca_engenho1
;;;;;;;;;;;;;6/15/2016;INDUSTRIAL          ;S;9;SANTIAGO                            ;13;SANTA CRUZ                          ;54;PEDRA BADEJO                        ;I;3052;VOLUNTARIO                          ;241;PEDRA BADEJO                        ;241;PEDRA BADEJO                        ;12;6/15/2016;2 :  :00;6/15/2016;1;08:28:00;6;1615;ACHADA PONTA                        ;15
;;;;;;;;;;;;;6/9/2016;INDUSTRIAL          ;S;9;SANTIAGO                            ;13;SANTA CRUZ                          ;54;PEDRA BADEJO                        ;I;3059;NOS KU NOS                          ;241;PEDRA BADEJO                        ;241;PEDRA BADEJO                        ;6;6/9/2016;7 :  :00;6/9/2016;1;08:15:00;1;1615;ACHADA PONTA                        ;25
;;;;;;;;;;;;;3/20/2015;INDUSTRIAL          ;B;4;SAL                                 ;8;SAL                                 ;19;PALMEIRA                            ;I;3067;CHEVAROTE                           ;222;PALMEIRA                            ;222;PALMEIRA                            ;10;3/20/2015;05:00:00;3/20/2015;1;10:50:00;5;1734;MADAMA                              ;20
;;;;;;;;;;;;;3/4/2015;INDUSTRIAL          ;B;4;SAL                                 ;8;SAL                                 ;19;PALMEIRA                            ;S;3314;MADIBA                              ;222;PALMEIRA                            ;222;PALMEIRA                            ;10;3/4/2015;06:00:00;3/4/2015;1;11:00:00;5;1734;MADAMA                              ;18
;;;;;;;;;;;;;11/2/2016;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;33;MAYRA                               ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;14;11/1/2016;2 :  :00;11/1/2016;1;13:30:00;11;1708;SUL DE MAIO                         ;120
;;;;;;;;;;;;;2/24/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;19;DJETA                               ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;1;2/24/2015;07:00:00;2/24/2015;1;12:10:00;5;1197;MONTE TRIGO                         ;0
;;;;;;;;;;;;;10/8/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3346;DEIVIKA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;12;10/8/2015;06:00:00;10/8/2015;1;09:00:00;3;1844;LAGOA                               ;0
;;;;;;;;;;;;;11/24/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3032;MANUELA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;13;11/24/2015;06:40:00;11/24/2015;1;11:00:00;4;1151;ZARANHA                             ;0
;;;;;;;;;;;;;11/20/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3032;MANUELA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;13;11/20/2015;06:40:00;11/20/2015;1;10:00:00;3;1151;ZARANHA                             ;0
;;;;;;;;;;;;;1/29/2015;INDUSTRIAL          ;B;3;S. NICOLAU                          ;7;TARRAFAL S. NICOLAU                 ;17;TARRAFAL SN                         ;I;35;PONTA LESTE                         ;274;TARRAFAL DE SAO NICOLAU             ;274;TARRAFAL DE SAO NICOLAU             ;10;1/28/2015;22:00:00;1/29/2015;1;08:00:00;10;1327;LESTE                               ;0
