ILHA;;DATA PARTIDA;DATA CHEGADA;MÊS;DIA;ANO;PORTO EMBARQUE;PORTO DESEMBARQUE;ZONA DE PESCA;ENGENHO;GRUPO;ESPÉCIE CAPTURADA;NOME CIENTÍFICO;QUANTIDADE CAPTURADA (Kg)
Santiago;Mauro;12/7/2018;12/9/2018;12;9;2018;Cais de pesca da Praia;Cais de pesca da Praia;Sul do Maio;Linha;Tunídeos;Albacora;Thunnus albacares;289
Santiago;Mauro;12/7/2018;12/9/2018;12;9;2018;Cais de pesca da Praia;Cais de pesca da Praia;Sul do Maio;Linha;Tunídeos;Gaiado;Katsuwonus pelamis;350
Santiago;Mauro;12/7/2018;12/9/2018;12;9;2018;Cais de pesca da Praia;Cais de pesca da Praia;Sul do Maio;Linha;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;180
Santiago;JB;12/5/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;João Valente;Linha;Tunídeos;Albacora;Thunnus albacares;803
Santiago;JB;12/5/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;João Valente;Linha;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;120
Santiago;Edylson Mateus;12/5/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;Ilheu Brava;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;3000
Santiago;Edylson Mateus;12/5/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;Ilheu Brava;Rede de cerco;Pequenos pelágicos;Bonito;Caranx crysos;100
Santiago;Edylson Mateus;12/5/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;Ilheu Brava;Rede de cerco;Pequenos pelágicos;Cavala branca;Decapterus punctatus;1000
Santiago;Deus me acompanha;12/5/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;João Valente;;Tunídeos;Albacora;Thunnus albacares;1727
Santiago;Deus me acompanha;12/5/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;João Valente;;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;180
Santiago;Calhau;12/9/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;Calheta Maio;Rede de cerco;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;5000
Santiago;Calhau;12/9/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;Calheta Maio;Rede de cerco;Pequenos pelágicos;Bonito;Caranx crysos;500
Santiago;Cidadela;12/8/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;Ilheu Brava;Rede de cerco;Pequenos pelágicos;Dobrada;Spicara melanurus;600
Santiago;Cidadela;12/8/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;Ilheu Brava;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;7500
Santiago;Cidadela;12/8/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;Ilheu Brava;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;1000
Santiago;Vinte-7;12/10/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;Maio;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;500
Santiago;Carlos Maria;11/22/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;João Valente;Rede de cerco;Pequenos pelágicos;Bonito;Caranx crysos;2000
Santiago;Carlos Maria;11/22/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;João Valente;Rede de cerco;Pequenos pelágicos;Bicuda;Sphryraena guachancho;20
Santiago;Carlos Maria;11/22/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;João Valente;Rede de cerco;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;100
Santiago;Carlos Maria;11/22/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;João Valente;Rede de cerco;Tunídeos;Cachorrinha ou Judeu;Auxis sp;200
Santiago;Carlos Maria;11/22/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;João Valente;Rede de cerco;Demersais;Barbeiro;Acanthurus monroviae;80
Santiago;Carlos Maria;11/22/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;João Valente;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;3000
Santiago;Vera;12/9/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;Cabeça Maio;Linha;Tunídeos;Albacora;Thunnus albacares;735
Santiago;Vera;12/9/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;Cabeça Maio;Linha;Tunídeos;Merma/ Panguil/ Txafarote;Euthynnus alleteratus;2500
Santiago;Vera;12/9/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;Cabeça Maio;Linha;Tunídeos;Lobo ou Dourado;Coryphaena hippurus;83
Santiago;Vera;12/9/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;Cabeça Maio;Linha;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;180
Santiago;Furna;12/8/2018;12/12/2018;12;12;2018;Cais de pesca da Praia;Cais de pesca da Praia;Baixa;Linha;Tunídeos;Albacora;Thunnus albacares;1177
Santiago;Furna;12/8/2018;12/12/2018;12;12;2018;Cais de pesca da Praia;Cais de pesca da Praia;Baixa;Linha;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;130
Santiago;Carlos Maria;6/30/2018;7/2/2018;7;2;2018;Cais de pesca da Praia;Cais de pesca da Praia;João Valente;Rede de cerco;Pequenos pelágicos;Bonito;Caranx crysos;1700
Santiago;Paulo Nuno;6/25/2018;7/3/2018;7;3;2018;Cais de pesca da Praia;Cais de pesca da Praia;Boa Vista;cerco;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;5000
Santiago;Calhau;7/10/2018;7/12/2018;7;12;2018;Cais de pesca da Praia;Cais de pesca da Praia;Maio;Rede de cerco;Pequenos pelágicos;Cavala preta;Decapterus macarellus;10000
Santiago;Mimosa;12/7/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;Boa Vista;Linha;Tunídeos;Merma/ Panguil/ Txafarote;Euthynnus alleteratus;600
Santiago;Mimosa;12/7/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;Boa Vista;Linha;Diversos;Agulhão;;50
Santiago;Mimosa;12/7/2018;12/11/2018;12;11;2018;Cais de pesca da Praia;Cais de pesca da Praia;Boa Vista;Linha;Tunídeos;Gaiado;Katsuwonus pelamis;8
