"tempo","cenario","indice","cv","cv_origem","fonte","engenhos_agregados"
"2011","C1 nominal 1989-2025","1.25416579351311","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2012","C1 nominal 1989-2025","1.45321542568438","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2014","C1 nominal 1989-2025","0.516531776019058","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"2015","C1 nominal 1989-2025","0.389001935455556","0.367062565286517","empirico","IMar viagem","FALSE"
"2016","C1 nominal 1989-2025","0.708706238277653","0.221693718480314","empirico","IMar viagem","FALSE"
"2017","C1 nominal 1989-2025","0.560427453668442","0.104310663792962","empirico","IMar viagem","FALSE"
"2019","C1 nominal 1989-2025","0.765470673977547","0.147968156983437","empirico","IMar viagem","FALSE"
"2020","C1 nominal 1989-2025","0.450623191398806","0.125470338741392","empirico","IMar viagem","FALSE"
"2021","C1 nominal 1989-2025","0.140966609757573","0.238938252353585","empirico","IMar viagem","FALSE"
"2022","C1 nominal 1989-2025","0.134646435911532","0.218257648357655","empirico","IMar viagem","FALSE"
"2023","C1 nominal 1989-2025","0.209870461356784","0.141647466799783","empirico","IMar viagem","FALSE"
"2024","C1 nominal 1989-2025","0.3070125128758","0.155298330348711","empirico","IMar viagem","FALSE"
"2025","C1 nominal 1989-2025","0.112644654483389","0.192862690252015","empirico","IMar viagem","FALSE"
"1989","C2 nominal pre-alvo (<=2014)","0.579770420327423","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"1990","C2 nominal pre-alvo (<=2014)","0.737347073158826","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"1991","C2 nominal pre-alvo (<=2014)","0.33710863022546","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"1992","C2 nominal pre-alvo (<=2014)","2.22148352142238","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"1993","C2 nominal pre-alvo (<=2014)","0.413506930385338","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"1994","C2 nominal pre-alvo (<=2014)","0.382160976991295","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"1995","C2 nominal pre-alvo (<=2014)","0.449161049172957","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"1996","C2 nominal pre-alvo (<=2014)","0.452859118743474","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"1997","C2 nominal pre-alvo (<=2014)","0.848416652428988","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"1998","C2 nominal pre-alvo (<=2014)","0.564053160548174","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"1999","C2 nominal pre-alvo (<=2014)","0.43789179646548","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"2000","C2 nominal pre-alvo (<=2014)","0.483112953212009","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2001","C2 nominal pre-alvo (<=2014)","0.682084784000469","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2002","C2 nominal pre-alvo (<=2014)","0.940139122900266","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2003","C2 nominal pre-alvo (<=2014)","0.878090688041223","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2004","C2 nominal pre-alvo (<=2014)","1.10319191751007","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2005","C2 nominal pre-alvo (<=2014)","3.32727567356367","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2006","C2 nominal pre-alvo (<=2014)","3.44970019723129","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2007","C2 nominal pre-alvo (<=2014)","1.5756083167165","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2008","C2 nominal pre-alvo (<=2014)","1.22596235916098","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2009","C2 nominal pre-alvo (<=2014)","0.680122595561461","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2010","C2 nominal pre-alvo (<=2014)","0.649395402038213","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2011","C2 nominal pre-alvo (<=2014)","1.00427649940779","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2012","C2 nominal pre-alvo (<=2014)","1.16366600663188","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","FALSE"
"2014","C2 nominal pre-alvo (<=2014)","0.413614154154399","0.2","piso (fonte agregada)","Historico 1989-2014 (agregado)","TRUE"
"2015","C3 nominal pos-alvo (>=2015)","1.02927715002723","0.367062565286517","empirico","IMar viagem","FALSE"
"2016","C3 nominal pos-alvo (>=2015)","1.87519667810055","0.221693718480314","empirico","IMar viagem","FALSE"
"2017","C3 nominal pos-alvo (>=2015)","1.48285938894712","0.104310663792962","empirico","IMar viagem","FALSE"
"2019","C3 nominal pos-alvo (>=2015)","2.02539216885478","0.147968156983437","empirico","IMar viagem","FALSE"
"2020","C3 nominal pos-alvo (>=2015)","1.19232351282769","0.125470338741392","empirico","IMar viagem","FALSE"
"2021","C3 nominal pos-alvo (>=2015)","0.372989687494377","0.238938252353585","empirico","IMar viagem","FALSE"
"2022","C3 nominal pos-alvo (>=2015)","0.356266864467001","0.218257648357655","empirico","IMar viagem","FALSE"
"2023","C3 nominal pos-alvo (>=2015)","0.555305387072788","0.141647466799783","empirico","IMar viagem","FALSE"
"2024","C3 nominal pos-alvo (>=2015)","0.81233776871942","0.155298330348711","empirico","IMar viagem","FALSE"
"2025","C3 nominal pos-alvo (>=2015)","0.298051393489046","0.192862690252015","empirico","IMar viagem","FALSE"
"2015","C4 padronizada SEM tatica","0.623866425642353","0.436880354835156","modelo","IMar viagem (padronizado)","FALSE"
"2016","C4 padronizada SEM tatica","2.30779005560206","0.230575513701666","modelo","IMar viagem (padronizado)","FALSE"
"2017","C4 padronizada SEM tatica","2.19281249714293","0.150007267628014","modelo","IMar viagem (padronizado)","FALSE"
"2019","C4 padronizada SEM tatica","1.81046005295024","0.159652531800515","modelo","IMar viagem (padronizado)","FALSE"
"2020","C4 padronizada SEM tatica","0.864075080653918","0.167440781709113","modelo","IMar viagem (padronizado)","FALSE"
"2021","C4 padronizada SEM tatica","0.309369003938758","0.209685874903748","modelo","IMar viagem (padronizado)","FALSE"
"2022","C4 padronizada SEM tatica","0.305931889654213","0.21773886266953","modelo","IMar viagem (padronizado)","FALSE"
"2023","C4 padronizada SEM tatica","0.519818594886869","0.186630247811404","modelo","IMar viagem (padronizado)","FALSE"
"2024","C4 padronizada SEM tatica","0.634737955375701","0.188876176360262","modelo","IMar viagem (padronizado)","FALSE"
"2025","C4 padronizada SEM tatica","0.43113844415297","0.271999131140379","modelo","IMar viagem (padronizado)","FALSE"
