"Amostragem","Ano","Mes","Grupo","Familia","Genero","Nome_cientifico","Especie","Engenho","Nome_engenho","Quantidade","Preco","Valor","Data_amostragem","Tipo_pesca","Regiao","Ilha","Nome_ilha","Concelho","Nome_concelho","Localidade","Nome_localidade","Tipo_embarcacao","Embarcacao","Nome_embarcacao","Porto_armamento","Nome_porto_armamento","Porto_desembarque","Nome_porto_desembarque","Numero_pescadores","Data_partida","Hora_partida","Data_chegada","Num_dias","Hora_chegada","Num_horas","Banco_pesca","Nome_banco_pesca","Profundidade_pesca_engenho1","fonte","nivel","engenhos_agregados","usar_na_serie"
"HIST_2013","2013",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","2210105.5",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","FALSE"
"HIST_2014","2014",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"AGREGADO (CERCO + LINHA)","1273775.2",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4946",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","TRUE","TRUE"
"77299","2015","12","PEQUENOS PELAGICOS","CARANGIDAE","SELAR","SELAR CRUMENOPHTHALMUS","OLHO LARGO OU CHICHARRO","13","REDE DE CERCO","1500","80","120000","12/16/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","14","12/15/2015","14:00:00","12/16/2015","1","07:00:00","17","1888","JOAO RODONDO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77298","2015","12","PEQUENOS PELAGICOS","CARANGIDAE","DECAPTERUS","DECAPTERUS MACARELLUS","CAVALA PRETA","13","REDE DE CERCO","800","120","96000","12/12/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","13","12/11/2015","15:00:00","12/12/2015","1","06:00:00","15","1888","JOAO RODONDO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77297","2015","12","PEQUENOS PELAGICOS","CARANGIDAE","SELAR","SELAR CRUMENOPHTHALMUS","OLHO LARGO OU CHICHARRO","13","REDE DE CERCO","600","80","48000","12/8/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","14","12/7/2015","15:00:00","12/8/2015","1","06:30:00","15","1888","JOAO RODONDO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77296","2015","12","PEQUENOS PELAGICOS","CARANGIDAE","SELAR","SELAR CRUMENOPHTHALMUS","OLHO LARGO OU CHICHARRO","13","REDE DE CERCO","150","120","18000","12/4/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","14","12/3/2015","15:00:00","12/4/2015","1","06:00:00","15","1888","JOAO RODONDO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77295","2015","11","TUNIDEOS","CORYPHAENIDAE","CORYPHAENA","CORYPHAENA HIPPURUS","DOURADO OU LOBO","13","REDE DE CERCO","14.5","300","4350","11/28/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","13","11/28/2015","06:30:00","11/28/2015","1","11:30:00","5","1151","ZARANHA","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77294","2015","11","TUNIDEOS","CORYPHAENIDAE","CORYPHAENA","CORYPHAENA HIPPURUS","DOURADO OU LOBO","13","REDE DE CERCO","30.5","250","7625","11/24/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","14","11/24/2015","06:30:00","11/24/2015","1","11:00:00","4","1151","ZARANHA","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77291","2015","11","PEQUENOS PELAGICOS","CARANGIDAE","DECAPTERUS","DECAPTERUS MACARELLUS","CAVALA PRETA","13","REDE DE CERCO","800","80","64000","11/20/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","11","11/20/2015","06:00:00","11/20/2015","1","10:00:00","4","1151","ZARANHA","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77289","2015","11","TUNIDEOS","CORYPHAENIDAE","CORYPHAENA","CORYPHAENA HIPPURUS","DOURADO OU LOBO","13","REDE DE CERCO","16","250","4000","11/16/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","11","11/16/2015","06:40:00","11/16/2015","1","12:00:00","5","1888","JOAO RODONDO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77289","2015","11","PEQUENOS PELAGICOS","CARANGIDAE","DECAPTERUS","DECAPTERUS PUNCTATUS","CAVALA BRANCA","13","REDE DE CERCO","400","100","40000","11/16/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","19","DJETA","268","PONTA DO SOL","268","PONTA DO SOL","11","11/16/2015","06:40:00","11/16/2015","1","12:00:00","5","1888","JOAO RODONDO","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
"77287","2015","11","PEQUENOS PELAGICOS","CARANGIDAE","DECAPTERUS","DECAPTERUS PUNCTATUS","CAVALA BRANCA","13","REDE DE CERCO","350","80","28000","11/12/2015","INDUSTRIAL","B","1","S. ANTÃO","2","RIBEIRA GRANDE","6","PONTA SOL","I","3032","MANUELA","268","PONTA DO SOL","268","PONTA DO SOL","9","11/12/2015","06:40:00","11/12/2015","1","09:30:00","2","1151","ZARANHA","0","IMar 2015-2017 (sem validacao)","viagem","FALSE","TRUE"
