"cenario_id","bk_method","r_method","MSY"
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1631.01896501983
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2208.83258813891
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2119.04251149095
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1411.80656330575
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1307.55205657778
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1981.89048468724
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1916.12554576384
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2100.32135758211
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1503.11933459472
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1684.41675663452
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1786.45911339123
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1345.02703467729
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1840.82532665585
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1381.64860769633
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1407.18956802603
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1555.37937555887
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1643.10776429222
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1856.3567251494
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1603.57061314584
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1672.12785945464
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1876.77859881991
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2184.4876779905
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1894.36341989423
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1645.77161898542
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1896.07047397933
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1464.20554153254
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1772.73942274543
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1428.21862743998
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2147.06077359825
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2318.40765511456
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1536.40186389158
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1627.46787301634
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1774.59659385785
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1586.97536763715
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1740.80357819385
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1576.13711904802
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1667.68878523832
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2088.24270078835
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1727.26258076702
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1305.51678029265
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1449.22310744919
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1400.63967659234
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1764.85248066078
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1418.74130363613
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1853.63447674637
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2186.92071335587
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1880.55891237492
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1363.50658502172
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1528.29982168754
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1294.82896659509
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1440.18458811737
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2213.24640658291
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1631.01896501983
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1722.97442219385
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1820.87711631028
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1645.77161898542
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2644.31714407784
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1775.78073691886
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1850.40410440236
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1787.88784093588
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2644.4492861093
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1840.82532665585
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1357.18521784446
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1263.57527219138
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1844.06910507416
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1847.62167942156
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1674.9173629087
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1589.66852267603
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1551.0621474583
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1699.62266731132
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1161.16610261649
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1500.78579733488
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1612.51591761731
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1706.83006602629
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1894.39275389947
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1979.72904182735
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2062.11073284743
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1770.43611732711
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1572.60755521251
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1770.15765835849
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1451.4777817582
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1769.0752659359
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1813.06840590414
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1278.98032952438
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1450.85666069161
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1705.41314441222
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1791.09249736834
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1608.33465884882
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1634.6448413482
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2452.5857145189
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1436.55000521132
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2181.45780626922
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1463.00742731032
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1712.19209441782
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1486.73339550638
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1858.2187186698
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2076.19810658913
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1648.13062153519
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1764.48750659713
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1678.59003700927
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1595.38705586403
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1767.78580735077
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1535.06829497397
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1664.21903425148
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1854.39661179585
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1818.99215824847
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2016.49771675617
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1664.77442467954
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1752.64477251528
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1824.11514953284
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1671.02204197067
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1618.86460280792
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1634.87658431122
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1687.45365788601
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1547.59939047584
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1622.40858288631
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1470.62718197508
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1699.21172362796
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2327.78884323347
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1913.16402012912
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1653.86114548646
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1958.1589501184
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1684.84916356605
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1878.85359203997
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1994.43061554118
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1748.22823101807
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1712.38014250569
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1641.51856812883
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1450.85666069161
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2674.06445840326
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1710.68938420762
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1980.82751190769
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1444.87273194277
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2084.65989911714
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2008.16530051475
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1927.14998432251
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1994.89910316382
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1931.33728083422
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1614.82056225375
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1938.83260803797
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1763.82119239051
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1706.69433031983
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1765.52627113393
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1760.86575545354
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1487.37521546754
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1635.60799050063
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1541.47078657198
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2603.47632938518
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1809.02470876103
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2055.09145199254
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2031.90825133181
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1717.48282502129
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1457.97426999884
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1899.95468956399
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1454.7404207544
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1714.50486448482
