"stock_id","stock_base","category","region","source","name","type_data","scenario","r_method","bk_method","yr","nyr","start.yr","int.yr","end.yr","ucl.B.Bmsy","lcl.B.Bmsy","B.Bmsy","ucl.F.Fmsy","lcl.F.Fmsy","F.Fmsy"
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2004,27,1989,2001,2015,1.18701855089326,0.531374563389152,0.821847314502562,2.45428807104476,0.688444559814964,1.29676741219596
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2005,27,1989,2001,2015,1.16404954706125,0.505174269987493,0.794414893710561,2.90525154226879,0.787795482169755,1.50428289786569
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2006,27,1989,2001,2015,1.1346963592111,0.482446241071367,0.760622059289296,3.42796428683122,0.895875713064615,1.78165437393751
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2007,27,1989,2001,2015,1.11267600297924,0.452210095421401,0.72488580218606,3.80428434365837,0.942252547838304,1.90237770134476
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2008,27,1989,2001,2015,1.07114570836386,0.423479015794558,0.684697909050718,3.90450841287631,0.90582401263134,1.82670565639325
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2009,27,1989,2001,2015,1.03160085833902,0.393381214701507,0.655069798315208,3.92335556022777,0.811428605137911,1.68568683718748
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2010,27,1989,2001,2015,0.997718251940607,0.367292101578928,0.629763597480934,4.25434763943668,0.811668841545669,1.70714383743536
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2011,27,1989,2001,2015,0.961179948825238,0.346904688105757,0.602936011530956,5.28361260070394,0.919563007859041,1.93494966420399
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2012,27,1989,2001,2015,0.928402142066473,0.31983187806276,0.574796223008924,6.26404668084052,0.962119762746857,2.06816110046213
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2013,27,1989,2001,2015,0.8887668602975,0.286169787682517,0.546375194041842,6.12056348429944,0.771208603278387,1.71994913596442
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2014,27,1989,2001,2015,0.864477507577255,0.26089765528595,0.527904163351604,4.60819409095815,0.492536184858484,1.0975909505019
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2015,27,1989,2001,2015,0.848069953660965,0.248602794278506,0.522490706324996,3.132612431683,0.32210341311486,0.714239604682164
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",1989,27,1989,2001,2015,1.90608939839174,1.54603633661291,1.7408182672638,0.609525267890273,0.30388925452464,0.428299689236524
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",1990,27,1989,2001,2015,1.91134234384335,1.44038174421164,1.67472831653583,0.609042729666262,0.296362848898869,0.426499101404952
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",1991,27,1989,2001,2015,1.91352347572013,1.39246144651286,1.63455825927221,0.683599165325837,0.328824576941932,0.477210368440312
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",1992,27,1989,2001,2015,1.88624112902342,1.34017291221069,1.59251251661035,0.802735056131067,0.382576728341218,0.555443683473821
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",1993,27,1989,2001,2015,1.82421282439135,1.27959752677128,1.5394192013951,0.870474426489637,0.415191921052516,0.601521547625997
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",1994,27,1989,2001,2015,1.7746511735217,1.22773955185835,1.48603048407937,0.916263261513898,0.432257259705072,0.628730419039551
"Decapterus macarellus_NN_CMSY_Higher resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Higher resilience","Higher resilience","NN_CMSY",1995,27,1989,2001,2015,1.72329840723058,1.17560251542549,1.44234224552093,0.9755095980275,0.471364354045986,0.682083341638237
