"cenario_id","hipotese","m_hipotese","m_fonte","bk_lo","bk_hi","variavel","media","mediana","p2.5","p97.5","n_total","n_aceitos","pct_aceitacao"
"Target_switch_x_M_segunda_confiavel","Target_switch","M_segunda_confiavel","Santos (2018)",0.2,0.7,"FmsyM",0.799947588952005,0.770235629222291,0.431435221195531,1.34218553932288,10000,7558,75.6
"Target_switch_x_M_segunda_confiavel","Target_switch","M_segunda_confiavel","Santos (2018)",0.2,0.7,"K",22974.6144921493,20321.6206880659,12701.8276208367,49037.9646849168,10000,7558,75.6
"Target_switch_x_M_segunda_confiavel","Target_switch","M_segunda_confiavel","Santos (2018)",0.2,0.7,"M",0.599708410451842,0.597494010272713,0.491762686004184,0.721750804005682,10000,7558,75.6
"Target_switch_x_M_segunda_confiavel","Target_switch","M_segunda_confiavel","Santos (2018)",0.2,0.7,"MSY",2180.54309031031,2095.47244010346,1786.20684241879,3014.84741871303,10000,7558,75.6
"Target_switch_x_M_segunda_confiavel","Target_switch","M_segunda_confiavel","Santos (2018)",0.2,0.7,"OFLT1",3495.73334605455,3091.12803580824,1344.86265503544,8119.08167487259,10000,7558,75.6
"Target_switch_x_M_segunda_confiavel","Target_switch","M_segunda_confiavel","Santos (2018)",0.2,0.7,"Umsy",0.288403421077089,0.282493658007749,0.170991883772777,0.435919452161236,10000,7558,75.6
"Uninformative_x_M_mais_confiavel","Uninformative","M_mais_confiavel","Jardim (1996/1999)",0,1,"Bmsy",12695.931552597,10098.7882847177,5904.29171161803,36485.2491409922,10000,6649,66.5
"Uninformative_x_M_mais_confiavel","Uninformative","M_mais_confiavel","Jardim (1996/1999)",0,1,"BmsyK",0.386319376283962,0.386028538600681,0.213271112833538,0.56304050447392,10000,6649,66.5
"Uninformative_x_M_mais_confiavel","Uninformative","M_mais_confiavel","Jardim (1996/1999)",0,1,"Brefyr",22470.8909889355,14227.8801765848,3254.47141436522,93037.9609240823,10000,6649,66.5
"Uninformative_x_M_mais_confiavel","Uninformative","M_mais_confiavel","Jardim (1996/1999)",0,1,"BtK",0.569614961869207,0.571730504510924,0.158876783633605,0.932806143164635,10000,6649,66.5
